X (cm),Y (cm), start(s), end(s), omega, stdev-Y (cm), stdev-omega, sensor used
18, 229.51327313264733, 9.1, 18, 2.2618248250239676, 0.2972227771904093, 0.0005469080785477887, 4
18, 201.76780398320966, 38.5, 60, 2.40225261437185, 0.2972227771904093, 0.00018035686187909466, 4
18, 185.0441319967431, 80.1, 95, 2.4991109722411435, 0.2972227771904093, 0.0002301433100229278, 4
18, 174.80560560213917, 149.5, 160, 2.583112390704978, 0.2972227771904093, 0.00042371230405910485, 4
18, 159.6141504506304, 162.1, 175, 2.7688775147646907, 0.2972227771904093, 0.0012806046258811755, 1
18, 147.38083706877023, 224.2, 239, 2.7545527557760465, 0.2972227771904093, 0.0009157794217305694, 1
18, 134.393336130046, 265.4, 280, 2.8314795568647475, 0.2972227771904093, 0.0015415443233345576, 1
18, 126.40127965422971, 325, 340, 2.9065579459542277, 0.2972227771904093, 0.0015042988679847035, 1
18, 109.97315448104405, 435, 445, 3.336151004762366, 0.2972227771904093, 0.002655522207238635, 1
18, 106.93870135530096, 505, 515, 3.264742740007659, 0.2972227771904093, 0.0007961714541890567, 1
18, 90.02062841383804, 600, 610, 3.6963407775888064, 0.2972227771904093, 0.003009246358521625, 1
18, 82.45854524942752, 689, 699, 3.645286997950184, 0.2972227771904093, 0.001428992962098568, 3
18, 73.8315475906088, 766, 776, 3.9031912357408114, 0.2972227771904093, 0.001198601010681368, 3
18, 69.32591017882987, 805, 814, 4.040321454195162, 0.2972227771904093, 0.00040463936946174943, 3
18, 60.18225804718281, 872, 882, 4.343192874177686, 0.2972227771904093, 0.0011480372290685024, 3
18, 55.19496900886588, 930.5, 940, 4.499706986498759, 0.2972227771904093, 0.0004771308815825611, 3
18, 51.553687157939066, 964, 972.5, 4.681453902906716, 0.2972227771904093, 0.0011761237268032275, 3
18, 48.706097303276465, 1007.5, 1016, 4.837240191822048, 0.2972227771904093, 0.0009671463134559646, 3
